Source	Revision	Code	Name
mca	202112	230205	昂昂溪区
mca	202112	230206	富拉尔基区
mca	202112	230207	碾子山区
mca	202112	230208	梅里斯达斡尔族区
mca	202112	230221	龙江县
mca	202112	230223	依安县
mca	202112	230224	泰来县
mca	202112	230225	甘南县
mca	202112	230227	富裕县
mca	202112	230229	克山县
mca	202112	230230	克东县
mca	202112	230231	拜泉县
mca	202112	230281	讷河市
mca	202112	230300	鸡西市
mca	202112	230302	鸡冠区
mca	202112	230303	恒山区
mca	202112	230304	滴道区
mca	202112	230305	梨树区
mca	202112	230306	城子河区
mca	202112	230307	麻山区
mca	202112	230321	鸡东县
mca	202112	230381	虎林市
mca	202112	230382	密山市
mca	202112	230400	鹤岗市
mca	202112	230402	向阳区
mca	202112	230403	工农区
mca	202112	230404	南山区
mca	202112	230405	兴安区
mca	202112	230406	东山区
mca	202112	230407	兴山区
mca	202112	230421	萝北县
mca	202112	230422	绥滨县
mca	202112	230500	双鸭山市
mca	202112	230502	尖山区
mca	202112	230503	岭东区
mca	202112	230505	四方台区
mca	202112	230506	宝山区
mca	202112	230521	集贤县
mca	202112	230522	友谊县
mca	202112	230523	宝清县
mca	202112	230524	饶河县
mca	202112	230600	大庆市
mca	202112	230602	萨尔图区
mca	202112	230603	龙凤区
mca	202112	230604	让胡路区
mca	202112	230605	红岗区
mca	202112	230606	大同区
mca	202112	230621	肇州县
mca	202112	230622	肇源县
mca	202112	230623	林甸县
mca	202112	230624	杜尔伯特蒙古族自治县
mca	202112	230700	伊春市
mca	202112	230717	伊美区
mca	202112	230718	乌翠区
mca	202112	230719	友好区
mca	202112	230722	嘉荫县
mca	202112	230723	汤旺县
mca	202112	230724	丰林县
mca	202112	230725	大箐山县
mca	202112	230726	南岔县
mca	202112	230751	金林区
mca	202112	230781	铁力市
mca	202112	230800	佳木斯市
mca	202112	230803	向阳区
mca	202112	230804	前进区
mca	202112	230805	东风区
mca	202112	230811	郊区
mca	202112	230822	桦南县
mca	202112	230826	桦川县
mca	202112	230828	汤原县
mca	202112	230881	同江市
mca	202112	230882	富锦市
mca	202112	230883	抚远市
mca	202112	230900	七台河市
mca	202112	230902	新兴区
mca	202112	230903	桃山区
mca	202112	230904	茄子河区
mca	202112	230921	勃利县
mca	202112	231000	牡丹江市
mca	202112	231002	东安区
mca	202112	231003	阳明区
mca	202112	231004	爱民区
mca	202112	231005	西安区
mca	202112	231025	林口县
